"region","townsize","gender","agecat","birthmonth","edcat","jobcat","union","empcat","retire","inccat","debtinc","creddebt","othdebt","default","jobsat","marital","spousedcat","reside","pets","pets_cats","pets_dogs","pets_birds","pets_reptiles","pets_small","pets_saltfish","pets_freshfish","homeown","hometype","addresscat","cars","carown","cartype","carcatvalue","carbought","carbuy","commute","commutecat","commutetime","reason","polview","polparty","polcontrib","vote","card","cardtype","cardbenefit","cardfee","cardtenurecat","card2","card2type","card2benefit","card2fee","card2tenurecat","carditems","card2items","active","bfast","tenure","churn","longmon","longten","tollfree","tollmon","tollten","equip","equipmon","equipten","callcard","cardmon","cardten","wireless","wiremon","wireten","multline","voice","pager","internet","callid","callwait","forward","confer","ebill","owntv","hourstv","ownvcr","owndvd","owncd","ownpda","ownpc","ownipod","owngame","ownfax","news","response_01","response_02","response_03","total.card.spend"
"Zone 5","2,500-9,999","Male",">65","September","Did not complete high school","Operation, Fabrication, General Labor","No","More than 15","Yes","Under $25",9.6,0.12,0.94,"No","Somewhat satisfied","Married","Did not complete high school",2,2,0,0,0,0,0,0,2,"Rent","Multiple-Family","More than 25",2,"Lease","Import","Economy","No","No","Car","Single occupancy",24,"Other","Slightly conservative","No","No","No","Mastercard","Gold","None","No","More than 15","Discover","None","None","No","More than 15",5,0,"No","Oatmeal",70,"No",28.45,1820.05,"Yes",48,3284.9,"No",0,0,"Yes",37.5,2625,"No",0,0,"No","No","Yes","None","Yes","Yes","Yes","Yes","No","Yes",21,"Yes","Yes","Yes","No","No","No","No","No","Yes","No","No","No",52.83
"Zone 1","> 250,000","Female","35-49","November","High school degree","Operation, Fabrication, General Labor","No","More than 15","No","$25 - $49",5.6,1.03,1.1,"No","Somewhat satisfied","Married","College degree",2,6,0,1,0,0,0,0,5,"Rent","Condominium/Townhouse","16 to 25",2,"Own","Import","Economy","Yes","No","Carpool","Multiple occupancy",22,"Missing","Moderate","No","No","No","Mastercard","None","Airline miles","No","More than 15","Visa","Other","Airline miles","No","More than 15",7,3,"Yes","Oatmeal",69,"No",29.3,2053.75,"Yes",23.75,1529.35,"No",0,0,"Yes",9.25,635,"No",0,0,"Yes","No","No","None","Yes","No","Yes","Yes","No","Yes",19,"Yes","Yes","Yes","No","No","No","No","No","Yes","No","No","No",200.11
"Zone 4","10,000-49,999","Male","18-24","January","High school degree","Precision Production, Craft, Repair","No","Less than 2","No","Under $25",2.7,0.07,0.28,"Yes","Somewhat dissatisfied","Unmarried","Not married",2,6,0,0,0,0,0,0,6,"Rent","Multiple-Family","Less than 3",2,"Own","Domestic","Economy","No","No","Walk","Non-motorized",26,"Missing","Moderate","Yes","No","No","Visa","Other","None","No","Less than 2","Other","Gold","None","Yes","Less than 2",7,1,"Yes","Cereal",5,"Yes",4.45,14.95,"No",0,0,"Yes",23.65,101.05,"No",0,0,"No",0,0,"No","No","No","Other","Yes","No","No","No","Yes","Yes",23,"Yes","No","No","No","Yes","No","Yes","No","No","No","No","No",215.28
"Zone 2","< 2,500","Female","18-24","August","Some college","Operation, Fabrication, General Labor","No","Less than 2","No","Under $25",17.1,0.31,3.79,"Yes","Highly dissatisfied","Married","High school degree",5,2,1,1,0,0,0,0,0,"Own","Condominium/Townhouse","Less than 3",2,"Lease","Import","Economy","Yes","No","Walk","Non-motorized",28,"Other","Extremely liberal","Yes","Yes","No","Mastercard","None","None","No","2 to 5","Discover","Other","None","No","2 to 5",13,4,"Yes","Energy bar",28,"No",8.5,221.55,"Yes",11.25,353.85,"Yes",37.15,1030.65,"Yes",17,490,"Yes",23.9,636.9,"Yes","No","No","Dial-up","No","Yes","No","No","Yes","Yes",24,"Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","No","No","No",260.68
"Zone 1","50,000-249,999","Female","50-64","September","Did not complete high school","Sales and Office","No","11 to 15","No","$25 - $49",2.9,0.13,0.85,"No","Highly satisfied","Married","High school degree",2,6,3,3,0,0,0,0,0,"Rent","Multiple-Family","8 to 15",1,"Own","Domestic","Standard","Yes","No","Train/Subway","Public transportation",27,"Missing","Moderate","No","No","Yes","Visa","Other","Cash back","No","More than 15","Mastercard","Platinum","Other","No","11 to 15",10,5,"Yes","Oatmeal",40,"No",5.15,171.85,"No",0,0,"No",0,0,"Yes",16.5,620,"No",0,0,"No","No","No","None","No","No","No","No","No","Yes",15,"Yes","Yes","Yes","No","Yes","No","No","No","Yes","No","No","No",441.17
"Zone 3","10,000-49,999","Male",">65","March","High school degree","Sales and Office","Yes","More than 15","No","$75 - $124",5.9,4.3,2.42,"No","Somewhat dissatisfied","Married","Did not complete high school",2,3,3,0,0,0,0,0,0,"Own","Single-family","16 to 25",2,"Own","Import","Luxury","Yes","No","Car","Single occupancy",28,"Missing","Conservative","Yes","Yes","Yes","American Express","Other","None","No","11 to 15","Discover","None","Cash back","No","6 to 10",14,5,"Yes","Oatmeal",35,"No",7.75,261.7,"No",0,0,"Yes",22.15,806.15,"No",0,0,"No",0,0,"Yes","No","No","Cable modem","No","No","No","No","No","Yes",27,"Yes","Yes","Yes","No","Yes","No","Yes","No","No","No","No","No",1735.66
"Zone 4","2,500-9,999","Female",">65","January","Did not complete high school","Operation, Fabrication, General Labor","No","More than 15","Yes","Under $25",8.4,0.05,0.71,"No","Neutral","Married","High school degree",2,0,0,0,0,0,0,0,0,"Own","Single-family","More than 25",3,"Lease","Domestic","Economy","No","No","Car","Single occupancy",28,"Missing","Conservative","No","No","No","Other","None","None","Yes","More than 15","Mastercard","Platinum","Other","Yes","More than 15",10,0,"Yes","Oatmeal",65,"No",25,1560.55,"No",0,0,"No",0,0,"Yes",11.5,720,"No",0,0,"Yes","No","No","None","No","Yes","Yes","No","No","Yes",19,"No","No","No","No","No","No","No","No","Yes","No","No","No",143.89
"Zone 3","2,500-9,999","Female","50-64","June","Did not complete high school","Service","No","More than 15","No","$75 - $124",7.3,1.74,6.73,"No","Highly satisfied","Married","Did not complete high school",2,0,0,0,0,0,0,0,0,"Rent","Multiple-Family","More than 25",2,"Own","Import","Luxury","Yes","No","Car","Single occupancy",30,"Missing","Moderate","No","No","No","Discover","None","Airline miles","Yes","More than 15","Mastercard","Other","None","No","More than 15",9,3,"No","Oatmeal",61,"No",8.2,457.6,"No",0,0,"No",0,0,"Yes",10,590,"No",0,0,"Yes","No","No","None","Yes","Yes","No","No","Yes","Yes",23,"Yes","Yes","Yes","No","Yes","Yes","Yes","No","Yes","No","No","No",290.98
"Zone 5","< 2,500","Male","35-49","August","College degree","Managerial and Professional","No","6 to 10","No","$75 - $124",12.1,5.74,6.96,"No","Highly satisfied","Unmarried","Not married",1,7,0,1,0,0,0,0,6,"Rent","Single-family","8 to 15",2,"Own","Import","Luxury","Yes","No","Train/Subway","Public transportation",26,"Missing","Slightly liberal","No","Yes","Yes","Discover","Gold","Cash back","No","11 to 15","American Express","Platinum","None","No","6 to 10",10,7,"No","Cereal",34,"No",12.55,395.15,"No",0,0,"Yes",29.85,936.05,"No",0,0,"No",0,0,"No","No","Yes","DSL","No","No","No","No","Yes","Yes",19,"Yes","Yes","Yes","No","Yes","Yes","Yes","No","No","No","No","No",1083.64
"Zone 2","10,000-49,999","Female","25-34","August","College degree","Operation, Fabrication, General Labor","No","Less than 2","No","Under $25",13.7,0.71,1.76,"No","Somewhat satisfied","Unmarried","Not married",1,6,1,1,0,4,0,0,0,"Own","Mobile Home","4 to 7",3,"Lease","Import","Economy","No","No","Car","Single occupancy",29,"Other","Slightly liberal","No","No","No","American Express","Gold","None","No","6 to 10","Discover","Other","Cash back","No","6 to 10",8,7,"No","Energy bar",16,"Yes",6.7,114.05,"Yes",22,342.5,"Yes",39.35,594.15,"Yes",11,145,"Yes",26.45,414.35,"Yes","Yes","No","None","Yes","Yes","Yes","Yes","No","Yes",17,"Yes","Yes","No","Yes","Yes","Yes","Yes","No","No","No","Yes","No",394.86
"Zone 5","> 250,000","Male",">65","January","College degree","Service","Yes","More than 15","No","$25 - $49",13.1,2.63,3.39,"No","Highly satisfied","Unmarried","Not married",1,2,0,2,0,0,0,0,0,"Rent","Multiple-Family","More than 25",2,"Own","Domestic","Economy","No","Yes","Walk","Non-motorized",22,"Missing","Slightly liberal","Yes","Yes","No","Visa","Gold","None","No","More than 15","Mastercard","Platinum","Cash back","No","11 to 15",15,3,"No","Cereal",46,"No",6.65,287,"Yes",27.25,1287.25,"No",0,0,"Yes",8.5,375,"No",0,0,"Yes","Yes","Yes","Dial-up","Yes","Yes","Yes","Yes","No","Yes",18,"Yes","Yes","Yes","No","Yes","No","No","No","Yes","No","No","No",273.22
"Zone 1","> 250,000","Male","25-34","April","College degree","Operation, Fabrication, General Labor","Yes","2 to 5","No","$50 - $74",4.3,0.8,1.43,"No","Somewhat dissatisfied","Unmarried","Not married",1,2,0,2,0,0,0,0,0,"Own","Single-family","8 to 15",3,"Own","Domestic","Standard","Yes","No","Car","Single occupancy",21,"Missing","Conservative","Yes","Yes","Yes","Discover","None","Cash back","No","11 to 15","Visa","Other","Airline miles","No","6 to 10",6,1,"Yes","Energy bar",32,"No",5.4,169.8,"No",0,0,"Yes",24.8,747.3,"No",0,0,"No",0,0,"Yes","No","No","Cable modem","No","No","No","No","No","Yes",19,"Yes","Yes","Yes","No","Yes","Yes","Yes","No","No","No","No","No",100.48
"Zone 3","50,000-249,999","Male","35-49","June","Some college","Sales and Office","No","2 to 5","No","$50 - $74",21.5,3.49,9.84,"No","Neutral","Married","High school degree",5,1,1,0,0,0,0,0,0,"Own","Single-family","16 to 25",3,"Own","Import","Standard","No","No","Car","Single occupancy",18,"Other","Moderate","No","No","No","Mastercard","Gold","Cash back","Yes","More than 15","Other","None","Cash back","No","11 to 15",13,5,"Yes","Energy bar",48,"No",7.55,381,"Yes",32,1512,"Yes",46.2,2151.25,"Yes",17.5,790,"Yes",44.8,2067.55,"Yes","Yes","Yes","DSL","Yes","Yes","Yes","Yes","Yes","Yes",20,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No","Yes",621.97
"Zone 1","50,000-249,999","Female","35-49","January","College degree","Sales and Office","No","2 to 5","No","$50 - $74",1.5,0.3,0.79,"No","Highly satisfied","Married","Some college",3,5,0,0,0,0,0,0,5,"Rent","Single-family","16 to 25",6,"Lease","Import","Luxury","No","Yes","Car","Single occupancy",26,"Missing","Slightly conservative","No","No","No","Discover","Platinum","Other","No","6 to 10","American Express","Other","Cash back","Yes","6 to 10",13,5,"Yes","Oatmeal",17,"No",11.4,207.6,"No",0,0,"Yes",34.25,572.85,"No",0,0,"No",0,0,"Yes","No","No","Cable modem","No","No","No","No","Yes","Yes",22,"Yes","Yes","Yes","No","Yes","Yes","Yes","No","No","No","No","No",641.83
"Zone 3","< 2,500","Female","25-34","July","College degree","Operation, Fabrication, General Labor","No","2 to 5","No","$25 - $49",24.1,3.29,3.22,"Yes","Somewhat dissatisfied","Married","High school degree",2,2,0,2,0,0,0,0,0,"Rent","Multiple-Family","4 to 7",1,"Own","Domestic","Economy","No","No","Car","Single occupancy",27,"Missing","Slightly conservative","No","No","No","Mastercard","None","Other","No","11 to 15","Other","Gold","Cash back","No","11 to 15",6,10,"Yes","Energy bar",51,"No",14.35,724.75,"Yes",18.75,952.1,"No",0,0,"Yes",11.75,550,"No",0,0,"No","No","No","None","No","Yes","No","Yes","No","Yes",23,"Yes","Yes","Yes","No","Yes","Yes","No","No","Yes","No","No","No",400.74
"Zone 1","< 2,500","Male","35-49","July","Post-undergraduate degree","Managerial and Professional","No","6 to 10","No","$125+",14,10.45,19.23,"Yes","Highly satisfied","Married","Post-undergraduate degree",2,1,1,0,0,0,0,0,0,"Own","Condominium/Townhouse","16 to 25",2,"Own","Import","Luxury","Yes","No","Walk","Non-motorized",24,"Missing","Conservative","No","Yes","Yes","Discover","Other","Other","No","More than 15","American Express","Other","None","No","More than 15",10,3,"No","Oatmeal",65,"No",10.75,712.35,"Yes",25.25,1746.2,"No",0,0,"Yes",23.75,1525,"No",0,0,"Yes","No","No","None","Yes","Yes","Yes","Yes","No","Yes",28,"Yes","Yes","Yes","No","No","No","No","No","No","No","No","No",363.55
"Zone 2","50,000-249,999","Female","25-34","May","Some college","Sales and Office","No","2 to 5","No","$25 - $49",1.6,0.03,0.76,"Yes","Neutral","Married","College degree",3,2,1,1,0,0,0,0,0,"Own","Single-family","8 to 15",2,"Own","Domestic","Standard","No","No","Car","Single occupancy",27,"Missing","Moderate","No","No","No","Visa","None","None","No","6 to 10","Discover","Gold","None","No","2 to 5",7,2,"No","Cereal",17,"No",5.45,92.4,"Yes",15.5,246.45,"No",0,0,"Yes",21.25,335,"No",0,0,"No","Yes","No","Dial-up","Yes","No","Yes","Yes","No","Yes",20,"Yes","Yes","Yes","No","Yes","Yes","No","No","Yes","No","No","No",152.24
"Zone 5","2,500-9,999","Female","25-34","September","College degree","Sales and Office","No","Less than 2","No","$25 - $49",12.3,1.78,4.12,"No","Somewhat dissatisfied","Married","Some college",6,4,3,1,0,0,0,0,0,"Own","Condominium/Townhouse","4 to 7",3,"Lease","Domestic","Economy","No","No","Car","Single occupancy",28,"Missing","Slightly conservative","No","No","No","Discover","None","None","No","11 to 15","American Express","Gold","Cash back","No","11 to 15",7,4,"No","Cereal",54,"No",7.7,453.15,"Yes",26,1466.65,"No",0,0,"Yes",21,1145,"No",0,0,"No","No","No","Dial-up","Yes","No","No","No","No","Yes",14,"Yes","Yes","Yes","No","Yes","Yes","Yes","No","No","No","No","No",322.12
"Zone 1","2,500-9,999","Female",">65","November","High school degree","Sales and Office","No","2 to 5","Yes","Under $25",4.3,0.07,0.31,"No","Somewhat satisfied","Unmarried","Not married",1,16,2,2,0,0,0,0,12,"Rent","Multiple-Family","16 to 25",2,"Own","Import","Economy","No","Yes","Train/Subway","Public transportation",29,"Missing","Slightly conservative","No","No","No","Visa","Gold","Cash back","No","More than 15","Mastercard","None","Airline miles","No","More than 15",10,4,"Yes","Oatmeal",70,"No",25.4,1797.85,"No",0,0,"No",0,0,"Yes",28.75,1900,"No",0,0,"Yes","No","No","None","Yes","No","No","Yes","No","No",0,"No","No","No","No","No","No","No","No","Yes","No","No","No",277.32
"Zone 2","2,500-9,999","Male","35-49","November","College degree","Sales and Office","Yes","6 to 10","No","$75 - $124",4.2,2.48,2.18,"No","Neutral","Married","High school degree",5,0,0,0,0,0,0,0,0,"Own","Single-family","16 to 25",2,"Own","Import","Luxury","Yes","No","Walk","Non-motorized",26,"Missing","Liberal","Yes","Yes","Yes","American Express","Gold","None","No","More than 15","Discover","None","Airline miles","No","11 to 15",9,6,"Yes","Oatmeal",37,"No",7.5,308.9,"Yes",15.75,602.15,"Yes",41.3,1498.4,"No",0,0,"Yes",35.85,1238.6,"Yes","Yes","Yes","Other","No","Yes","Yes","Yes","Yes","Yes",24,"Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","No","No","No","No",534.21
"Zone 5","2,500-9,999","Male","35-49","August","Post-undergraduate degree","Managerial and Professional","No","2 to 5","No","$50 - $74",14.2,1.93,6.31,"No","Somewhat dissatisfied","Married","College degree",5,7,2,1,1,0,0,0,3,"Rent","Mobile Home","16 to 25",1,"Own","Domestic","Standard","Yes","No","Walk","Non-motorized",20,"Missing","Conservative","No","No","Yes","Discover","None","Other","No","2 to 5","Mastercard","Gold","Other","No","2 to 5",13,5,"Yes","Oatmeal",13,"Yes",6.55,72.8,"No",0,0,"Yes",33.05,408.95,"No",0,0,"No",0,0,"Yes","Yes","No","DSL","Yes","No","Yes","No","Yes","Yes",24,"Yes","Yes","Yes","No","Yes","Yes","No","No","No","No","Yes","Yes",342.84
"Zone 1","50,000-249,999","Female",">65","June","Some college","Managerial and Professional","No","6 to 10","No","$50 - $74",10,1.74,3.66,"No","Somewhat satisfied","Unmarried","Not married",1,9,4,0,0,0,0,0,5,"Rent","Single-family","More than 25",5,"Own","Import","Standard","No","No","Car","Single occupancy",19,"Service","Slightly liberal","Yes","Yes","Yes","Discover","Gold","Airline miles","Yes","More than 15","Visa","None","None","No","More than 15",10,5,"Yes","Cereal",66,"No",21.4,1556.35,"No",0,0,"No",0,0,"Yes",74.75,5050,"No",0,0,"No","No","No","None","No","No","No","No","No","Yes",15,"Yes","Yes","Yes","No","No","No","No","No","Yes","No","Yes","No",194.58
"Zone 5","50,000-249,999","Female","35-49","June","Did not complete high school","Service","Yes","11 to 15","No","$50 - $74",7.4,3.22,0.85,"No","Highly satisfied","Married","High school degree",2,1,1,0,0,0,0,0,0,"Own","Single-family","8 to 15",2,"Own","Import","Standard","Yes","No","Train/Subway","Public transportation",22,"Missing","Moderate","Yes","No","Yes","American Express","Other","Other","Yes","11 to 15","Discover","Gold","Cash back","No","6 to 10",9,4,"No","Cereal",35,"No",11.05,351.95,"No",0,0,"No",0,0,"No",0,0,"No",0,0,"No","No","No","None","No","No","No","No","No","Yes",19,"Yes","Yes","Yes","No","No","No","No","No","Yes","No","No","No",469.43
"Zone 4","50,000-249,999","Female",">65","September","Some college","Operation, Fabrication, General Labor","No","More than 15","Yes","$25 - $49",6,0.82,0.92,"No","Neutral","Unmarried","Not married",1,7,1,0,1,0,0,0,5,"Rent","Multiple-Family","16 to 25",2,"Lease","Import","Economy","Yes","No","Car","Single occupancy",33,"Missing","Slightly conservative","No","No","No","Visa","Platinum","Airline miles","No","More than 15","Other","None","Airline miles","No","11 to 15",12,2,"No","Oatmeal",44,"No",5.35,235.9,"No",0,0,"Yes",40.65,1769.95,"Yes",15,590,"Yes",30.35,1278.95,"Yes","No","Yes","Other","No","No","No","Yes","Yes","Yes",23,"Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","No","No","No","No",407.34
"Zone 2","10,000-49,999","Male",">65","November","Post-undergraduate degree","Sales and Office","No","6 to 10","Yes","Under $25",3.7,0.05,0.29,"No","Highly satisfied","Married","Post-undergraduate degree",2,12,1,0,0,0,0,0,11,"Rent","Multiple-Family","More than 25",2,"Lease","Import","Economy","Yes","No","Car","Single occupancy",23,"Missing","Liberal","No","No","No","Discover","Gold","Airline miles","No","More than 15","Visa","Other","Other","No","More than 15",12,2,"No","Oatmeal",64,"Yes",24.55,1638.75,"No",0,0,"Yes",33.35,2188.45,"Yes",5.25,310,"Yes",27.8,1659.45,"Yes","Yes","No","DSL","No","No","No","No","Yes","No",0,"No","No","No","No","Yes","Yes","Yes","No","Yes","No","No","No",187.67
"Zone 2","2,500-9,999","Male",">65","July","Some college","Managerial and Professional","No","6 to 10","No","$25 - $49",18.4,1.52,5.65,"No","Somewhat satisfied","Married","Some college",2,0,0,0,0,0,0,0,0,"Own","Condominium/Townhouse","More than 25",1,"Own","Domestic","Economy","No","Yes","Car","Single occupancy",25,"Missing","Moderate","No","No","No","Discover","Gold","Cash back","Yes","More than 15","Mastercard","Platinum","Airline miles","No","More than 15",10,5,"No","Oatmeal",70,"No",14.2,1043.35,"Yes",20.5,1417.1,"No",0,0,"Yes",22.5,1510,"No",0,0,"No","No","No","None","No","No","No","No","No","Yes",20,"Yes","Yes","Yes","No","Yes","No","No","No","Yes","No","No","No",409.91
"Zone 3","> 250,000","Male","50-64","December","High school degree","Sales and Office","No","11 to 15","Yes","Under $25",9.4,0.16,0.78,"No","Highly satisfied","Married","Did not complete high school",2,2,2,0,0,0,0,0,0,"Own","Single-family","16 to 25",2,"Own","Import","Economy","Yes","No","Car","Single occupancy",19,"Missing","Moderate","Yes","No","No","Mastercard","None","Other","No","More than 15","Other","None","None","Yes","More than 15",12,6,"Yes","Cereal",60,"Yes",22.55,1384.5,"No",0,0,"No",0,0,"Yes",31.5,1755,"No",0,0,"Yes","No","No","None","No","No","No","No","No","Yes",23,"No","Yes","Yes","No","No","Yes","No","No","Yes","No","No","Yes",276.76
"Zone 5","10,000-49,999","Female","50-64","April","Did not complete high school","Managerial and Professional","No","6 to 10","No","$25 - $49",6.8,0.73,0.97,"No","Somewhat dissatisfied","Married","Did not complete high school",3,0,0,0,0,0,0,0,0,"Rent","Multiple-Family","4 to 7",3,"Lease","Domestic","Economy","No","Yes","Car","Single occupancy",23,"Missing","Slightly liberal","Yes","No","No","Visa","None","None","No","11 to 15","Other","Other","None","Yes","6 to 10",8,5,"No","Cereal",30,"No",6.35,187.05,"No",0,0,"No",0,0,"Yes",14.5,435,"No",0,0,"No","No","No","None","No","No","No","No","No","Yes",23,"Yes","Yes","Yes","No","No","No","No","No","No","No","No","No",196.63
"Zone 4","10,000-49,999","Female","35-49","February","Did not complete high school","Managerial and Professional","Yes","6 to 10","No","$25 - $49",4.3,0.89,0.83,"No","Somewhat dissatisfied","Married","Some college",4,6,0,0,0,0,0,0,6,"Rent","Multiple-Family","8 to 15",2,"Lease","Domestic","Economy","No","Yes","Car","Single occupancy",31,"Missing","Moderate","No","No","No","Visa","Other","None","No","11 to 15","Discover","Gold","Airline miles","No","6 to 10",7,7,"Yes","Cereal",19,"No",4.35,78.9,"No",0,0,"No",0,0,"No",0,0,"No",0,0,"No","No","No","None","No","No","No","No","No","Yes",15,"Yes","Yes","Yes","No","No","No","No","No","No","No","No","No",319.79
"Zone 2","> 250,000","Female",">65","April","Post-undergraduate degree","Operation, Fabrication, General Labor","No","More than 15","Yes","$50 - $74",20,6.1,7.1,"No","Neutral","Unmarried","Not married",1,7,1,0,0,0,0,0,6,"Own","Mobile Home","More than 25",0,"N/A","N/A","N/A","N/A","Yes","Telecommute","Telecommute",35,"Missing","Moderate","No","No","Yes","Visa","Platinum","Other","No","More than 15","Mastercard","Gold","Cash back","No","More than 15",11,3,"Yes","Energy bar",72,"No",56.9,4290.7,"Yes",19,1480.5,"No",0,0,"Yes",58.25,4155,"No",0,0,"Yes","No","No","DSL","No","No","No","No","No","Yes",12,"Yes","Yes","Yes","No","Yes","No","No","No","Yes","No","No","No",354.32
"Zone 4","2,500-9,999","Female","35-49","January","Some college","Sales and Office","No","2 to 5","No","$50 - $74",7.7,1.17,3.3,"Yes","Neutral","Unmarried","Not married",1,0,0,0,0,0,0,0,0,"Rent","Multiple-Family","8 to 15",4,"Own","Import","Standard","Yes","Yes","Car","Single occupancy",26,"Missing","Extremely liberal","Yes","Yes","Yes","Visa","Platinum","Cash back","No","Less than 2","American Express","Other","Other","No","Less than 2",9,3,"No","Cereal",1,"Yes",0.9,0.9,"Yes",16,16,"No",0,0,"No",0,0,"Yes",14.55,14.55,"No","No","No","None","Yes","Yes","No","No","No","Yes",17,"No","Yes","No","No","Yes","Yes","Yes","No","No","No","No","No",545.76
"Zone 2","> 250,000","Female",">65","August","College degree","Sales and Office","No","More than 15","No","$75 - $124",4.6,2.25,2.77,"No","Somewhat satisfied","Unmarried","Not married",2,0,0,0,0,0,0,0,0,"Own","Single-family","16 to 25",2,"Own","Import","Luxury","No","Yes","Train/Subway","Public transportation",22,"Missing","Extremely conservative","Yes","No","Yes","Discover","None","Other","Yes","11 to 15","Visa","Platinum","Cash back","No","11 to 15",9,6,"Yes","Oatmeal",33,"No",6.9,233.75,"No",0,0,"Yes",29.15,929,"No",0,0,"No",0,0,"No","No","No","Dial-up","Yes","Yes","No","No","No","Yes",28,"Yes","Yes","Yes","No","Yes","Yes","No","No","No","No","No","No",581.17
"Zone 2","10,000-49,999","Male","35-49","October","High school degree","Service","No","6 to 10","No","$25 - $49",6.9,1.55,1.76,"No","Somewhat satisfied","Married","High school degree",3,0,0,0,0,0,0,0,0,"Rent","Single-family","8 to 15",3,"Own","Domestic","Standard","Yes","No","Bicycle","Non-motorized",34,"Missing","Conservative","Yes","Yes","Yes","Mastercard","Platinum","None","Yes","6 to 10","Other","Other","Other","No","6 to 10",12,8,"Yes","Oatmeal",35,"Yes",9.5,292.9,"No",0,0,"No",0,0,"Yes",12,380,"No",0,0,"No","No","No","None","No","No","No","No","No","Yes",27,"Yes","Yes","Yes","No","Yes","Yes","No","No","No","No","No","No",360.53
"Zone 4","50,000-249,999","Male","50-64","October","Some college","Managerial and Professional","No","11 to 15","No","$75 - $124",7.2,1.76,3.71,"No","Somewhat satisfied","Unmarried","Not married",1,8,0,0,0,0,0,0,8,"Rent","Single-family","16 to 25",1,"Own","Domestic","Standard","Yes","No","Train/Subway","Public transportation",28,"Missing","Moderate","No","No","Yes","Mastercard","None","None","No","More than 15","Discover","Other","Other","Yes","More than 15",8,7,"No","Oatmeal",34,"No",5.95,181.6,"Yes",23.75,735.35,"No",0,0,"Yes",16.25,520,"No",0,0,"Yes","No","No","None","Yes","Yes","Yes","Yes","No","Yes",24,"Yes","Yes","Yes","No","No","No","Yes","No","Yes","No","No","No",449
"Zone 1","> 250,000","Female",">65","June","High school degree","Operation, Fabrication, General Labor","Yes","More than 15","Yes","Under $25",6,0.88,0.44,"No","Neutral","Married","Did not complete high school",2,8,0,1,0,0,0,0,7,"Own","Condominium/Townhouse","4 to 7",2,"Own","Domestic","Economy","No","No","Car","Single occupancy",19,"Missing","Extremely conservative","Yes","Yes","No","Visa","Gold","None","Yes","More than 15","Discover","Gold","Airline miles","Yes","More than 15",5,8,"No","Oatmeal",66,"No",35.95,2315.45,"Yes",35.25,2404.55,"No",0,0,"Yes",26.75,1775,"No",0,0,"Yes","Yes","Yes","Dial-up","No","Yes","Yes","No","Yes","Yes",18,"Yes","Yes","Yes","No","Yes","No","No","No","Yes","No","Yes","No",228.65
"Zone 2","> 250,000","Male","35-49","December","Some college","Operation, Fabrication, General Labor","No","6 to 10","No","$25 - $49",8.7,2.27,0.78,"No","Somewhat satisfied","Unmarried","Not married",1,2,0,0,2,0,0,0,0,"Rent","Multiple-Family","4 to 7",3,"Lease","Import","Economy","No","No","Car","Single occupancy",29,"Missing","Moderate","Yes","No","Yes","Mastercard","Other","Cash back","No","Less than 2","Visa","Platinum","None","Yes","Less than 2",9,1,"Yes","Energy bar",2,"No",8.55,15.5,"No",0,0,"No",0,0,"No",0,0,"No",0,0,"No","No","No","Dial-up","Yes","Yes","Yes","Yes","No","Yes",20,"Yes","Yes","Yes","No","Yes","No","No","No","No","No","No","No",256.2
"Zone 5","< 2,500","Female","50-64","September","Did not complete high school","Service","No","11 to 15","No","$75 - $124",7.6,2.24,3.61,"No","Neutral","Unmarried","Not married",1,3,0,3,0,0,0,0,0,"Own","Single-family","16 to 25",3,"Own","Import","Luxury","Yes","No","Other public transit","Public transportation",40,"Missing","Slightly liberal","No","No","No","Mastercard","None","Other","No","More than 15","Discover","Platinum","Cash back","No","More than 15",6,2,"Yes","Oatmeal",63,"No",20.15,1282.4,"Yes",43.5,2865.85,"No",0,0,"Yes",29.5,1845,"No",0,0,"Yes","No","No","None","Yes","Yes","Yes","Yes","No","Yes",19,"Yes","Yes","Yes","No","Yes","No","Yes","No","Yes","Yes","No","No",164.88
"Zone 4","50,000-249,999","Female","25-34","December","Some college","Sales and Office","Yes","Less than 2","No","Under $25",5.4,0.23,1.01,"No","Highly dissatisfied","Married","College degree",6,3,0,1,0,0,0,0,2,"Rent","Multiple-Family","4 to 7",3,"Own","Import","Economy","No","No","Car","Single occupancy",23,"Prices","Moderate","Yes","No","Yes","Discover","Other","Airline miles","No","6 to 10","Mastercard","Other","Other","No","6 to 10",12,8,"No","Energy bar",32,"Yes",7.6,248.65,"No",0,0,"Yes",31.5,996.8,"No",0,0,"No",0,0,"Yes","Yes","No","Cable modem","No","No","No","No","No","Yes",19,"Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","No","No","No",531.63
